NOTIFICATION_ID,NOTIF_TYPE,CREATED_DATE,SUPPLIER,PART_NUMBER,PART_DESCRIPTION,LOT_NUMBER,PO_REFERENCE,QTY_INSPECTED,QTY_REJECTED,DEFECT_CODE,DEFECT_DESCRIPTION,SEVERITY,DISPOSITION,INSPECTION_SITE,STATUS,CLOSED_DATE
QN-025-04096,INCOMING_INSPECTION,2025-06-07,"Wuxi Crane Optics Industry Co., Ltd.",CMP-BAT-0130,Li-ion battery pack 023,LOT-202506-22,4500089360,8250,30,DEF-COSM-02,cosmetic scratch beyond spec,MINOR,REWORK,MER-DC-GB-01,CLOSED,2025-06-25
QN-025-04097,INCOMING_INSPECTION,2025-06-14,"Taichung Energy Co., Ltd.",CMP-CBL-0377,flex ribbon cable 278,LOT-202506-39,,15450,285,DEF-PKG-05,packaging damaged in transit,MAJOR,SCRAP,MER-DC-MX-01,CLOSED,
QN-025-04098,SUPPLIER_COMPLAINT,2025-06-21,Shaoxing Polymer Industrial Corp.,MRO-GEN-0722,maintenance supply item 22,LOT-202506-56,,4600,10,DEF-DIM-03,dimension out of tolerance,MINOR,REWORK,MER-DC-SG-01,CLOSED,2025-07-11
QN-025-04099,SCAR,2025-06-28,Dalian Crest Electronics Industrial Corp.,CMP-FST-0472,TORX SCREW 373,LOT-202506-73,,3550,40,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,REWORK,MER-3PL-US-01,CLOSED,2025-07-19
QN-025-04100,INCOMING_INSPECTION,2025-07-05,Volta Precision Joint Stock Company,CMP-ENC-0118,machined housing 019,LOT-202507-90,4500087148,3050,5,DEF-SOLDER-01,cold solder joint on connector,MINOR,REWORK,MER-3PL-PL-02,CLOSED,2025-07-27
QN-025-04101,INCOMING_INSPECTION,2025-07-12,Da Nang Components Inc.,CMP-CAM-0365,camera module 266,LOT-202507-17,4500088852,8300,30,DEF-SWELL-06,cell pouch deformation observed,MINOR,RETURN_TO_VENDOR,MER-3PL-MY-03,CLOSED,2025-08-04
QN-025-04102,SUPPLIER_COMPLAINT,2025-07-19,Kunshan Polymer Corporation,CMP-PCB-0252,main logic board assembly 153,LOT-202507-34,,2250,5,DEF-DIM-03,dimension out of tolerance,MINOR,REWORK,MER-DC-US-01,CLOSED,2025-08-12
QN-025-04103,SCAR,2025-07-26,Gumi Electronics Industry Co Ltd,CMP-DSP-0500,OLED display module 393,LOT-202507-51,,8250,10,DEF-SWELL-06,cell pouch deformation observed,MINOR,SCRAP,MER-DC-US-02,CLOSED,2025-08-20
QN-025-04104,INCOMING_INSPECTION,2025-08-02,"ULSAN PRECISION INDUSTRY CO., LTD.",CMP-BAT-0146,Li-ion battery pack 047,LOT-202508-68,,18850,305,DEF-PKG-05,packaging damaged in transit,MAJOR,SCRAP,MER-DC-US-03,CLOSED,2025-08-28
QN-025-04105,INCOMING_INSPECTION,2025-08-09,"Suwon Components Co., Ltd.",CMP-CBL-0193,flex ribbon cable 086,LOT-202508-85,4500087350,19900,50,DEF-PKG-05,packaging damaged in transit,MINOR,REWORK,MER-DC-US-04,CLOSED,2025-09-05
QN-025-04106,SUPPLIER_COMPLAINT,2025-08-16,Fukuoka Tooling Industrial Corp.,CMP-ADH-0240,structural adhesive 141,LOT-202508-12,4500088205,17100,195,DEF-ELEC-04,fails electrical continuity test,MAJOR,USE_AS_IS,MER-DC-US-05,CLOSED,2025-09-13
QN-025-04107,SCAR,2025-08-23,Hailong Acoustics Industrial Corp.,CMP-FST-0488,torx screw 389,LOT-202508-29,,16850,5,DEF-SOLDER-01,cold solder joint on connector,MINOR,SCRAP,MER-DC-US-06,CLOSED,2025-09-21
QN-025-04108,INCOMING_INSPECTION,2025-08-30,Chengdu Skylark Display Joint Stock Company,CMP-ENC-0134,machined housing 035,LOT-202508-46,,8000,65,DEF-DIM-03,dimension out of tolerance,MAJOR,SCRAP,MER-DC-NL-01,CLOSED,2025-09-29
QN-025-04109,INCOMING_INSPECTION,2025-09-06,Hue  Amber Acoustics,CMP-CBL-0425,flex ribbon cable 326,LOT-202509-63,,11150,425,DEF-COSM-02,cosmetic scratch beyond spec,CRITICAL,RETURN_TO_VENDOR,MER-DC-DE-01,CLOSED,2025-10-07
QN-025-04110,SUPPLIER_COMPLAINT,2025-09-13,Ningbo Anchor Tooling Corporation,CMP-PCB-0268,main logic board assembly 169,LOT-202509-80,4500087732,15150,20,DEF-SOLDER-01,cold solder joint on connector,MINOR,SCRAP,MER-DC-CN-01,CLOSED,2025-10-15
QN-025-04111,SCAR,2025-09-20,"Zhuhai Coral Acoustics Industry Co., Ltd.",CMP-DSP-0115,OLED display module 016,LOT-202509-97,4500087715,17500,270,DEF-DIM-03,dimension out of tolerance,MAJOR,SCRAP,MER-DC-CN-02,CLOSED,2025-10-23
QN-025-04112,INCOMING_INSPECTION,2025-09-27,"Hangzhou Lake Display Industry Co., Ltd.",CMP-BAT-0362,Li-ion battery pack 263,LOT-202509-24,,1800,25,DEF-ELEC-04,fails electrical continuity test,CRITICAL,SCRAP,MER-DC-JP-01,CLOSED,2025-10-31
QN-025-04113,INCOMING_INSPECTION,2025-10-04,"Zhongshan Circuit Co., Ltd.",CMP-CBL-0409,flex ribbon cable 302,LOT-202510-41,,9950,35,DEF-COSM-07,cosmetic scratch beyond spec,MAJOR,USE_AS_IS,MER-DC-GB-01,CLOSED,2025-11-08
QN-025-04114,SUPPLIER_COMPLAINT,2025-10-11,Long An Microsystems Industrial Corp.,CMP-ADH-0256,structural adhesive 149,LOT-202510-58,,15850,65,DEF-PKG-05,packaging damaged in transit,MINOR,REWORK,MER-DC-MX-01,CLOSED,2025-11-16
QN-025-04115,SCAR,2025-10-18,Pusan Metalworks Industrial Corp.,CMP-FST-0303,torx screw 204,LOT-202510-75,4500087776,17700,65,DEF-PKG-05,packaging damaged in transit,MINOR,REWORK,MER-DC-SG-01,CLOSED,2025-11-24
QN-025-04116,INCOMING_INSPECTION,2025-10-25,Toyohashi Gear Microsystems Industrial Corp ,CMP-ENC-0446,machined housing 347,LOT-202510-92,,10550,70,DEF-COSM-07,cosmetic scratch beyond spec,MAJOR,RETURN_TO_VENDOR,MER-3PL-US-01,CLOSED,2025-12-02
QN-025-04117,INCOMING_INSPECTION,2025-11-01,Hsinchu Circuit Inc.,CMP-CAM-0437,camera module 338,LOT-202511-19,,17400,50,DEF-COSM-02,cosmetic scratch beyond spec,MINOR,SCRAP,MER-3PL-PL-02,CLOSED,2025-12-10
QN-025-04118,SUPPLIER_COMPLAINT,2025-11-08,Yokohama Kiyo Microsystems,CMP-PCB-0284,main logic board assembly 185,LOT-202511-36,,8350,145,DEF-ELEC-04,fails electrical continuity test,MAJOR,SCRAP,MER-3PL-MY-03,CLOSED,2025-12-18
QN-025-04119,SCAR,2025-11-15,"Daegu Metalworks Industry Co., Ltd.",MRO-GEN-0701,maintenance supply item 01,LOT-202511-53,,6600,0,DEF-ELEC-04,fails electrical continuity test,MINOR,RETURN_TO_VENDOR,MER-DC-US-01,CLOSED,2025-12-26
QN-025-04120,INCOMING_INSPECTION,2025-11-22,"Kobe Mira Optics Industry Co., Ltd.",CMP-BAT-0178,Li-ion battery pack 079,LOT-202511-70,4500087407,1850,35,DEF-ELEC-04,fails electrical continuity test,MAJOR,USE_AS_IS,MER-DC-US-02,CLOSED,2025-12-04
QN-025-04121,INCOMING_INSPECTION,2025-11-29,"Pingtung Energy Co., Ltd.",CMP-CBL-0425,flex ribbon cable 326,LOT-202511-87,4500087377,17400,45,DEF-SWELL-06,cell pouch deformation observed,MINOR,USE_AS_IS,MER-DC-US-03,CLOSED,2025-12-12
QN-025-04122,SUPPLIER_COMPLAINT,2025-12-06,Nagoya Polymer Industrial Corp.,CMP-ADH-0272,structural adhesive 173,LOT-202512-14,,13050,45,DEF-SOLDER-01,cold solder joint on connector,MINOR,SCRAP,MER-DC-US-04,CLOSED,2025-12-20
QN-025-04123,SCAR,2025-12-13,Wuxi Crane Electronics Industrial Corp.,CMP-FST-0319,torx screw 212,LOT-202512-31,,16850,25,DEF-DIM-03,dimension out of tolerance,MINOR,REWORK,MER-DC-US-05,CLOSED,2025-12-28
QN-025-04124,INCOMING_INSPECTION,2025-12-20,TAOYUAN OPTICS JOINT STOCK COMPANY,CMP-ENC-0206,machined housing 107,LOT-202512-48,,1450,15,DEF-DIM-03,dimension out of tolerance,MAJOR,USE_AS_IS,MER-DC-US-06,CLOSED,2026-01-05
QN-025-04125,INCOMING_INSPECTION,2025-12-27,Xiamen Harbor Energy Inc,CMP-CAM-0454,camera module 355,LOT-202512-65,4500087574,16450,480,DEF-COSM-02,cosmetic scratch beyond spec,CRITICAL,USE_AS_IS,MER-DC-NL-01,CLOSED,2026-01-13
QN-026-04126,SUPPLIER_COMPLAINT,2026-01-03,Foshan Ridge Polymer Corporation,CMP-PCB-0100,main logic board assembly 001,LOT-202601-82,4500088408,8250,135,DEF-PKG-05,packaging damaged in transit,MAJOR,USE_AS_IS,MER-DC-DE-01,CLOSED,2026-01-21
QN-026-04127,SCAR,2026-01-10,"Tianjin Gate Electronics Industry Co., Ltd.",CMP-DSP-0347,OLED DISPLAY MODULE 248,LOT-202601-99,,1950,10,DEF-PKG-05,packaging damaged in transit,MAJOR,SCRAP,MER-DC-CN-01,CLOSED,2026-01-29
QN-026-04128,INCOMING_INSPECTION,2026-01-17,"Quang Nam Precision Industry Co., Ltd.",CMP-BAT-0194,Li-ion battery pack 095,LOT-202601-26,,9000,445,DEF-ELEC-04,fails electrical continuity test,CRITICAL,USE_AS_IS,MER-DC-CN-02,CLOSED,2026-02-06
QN-026-04129,INCOMING_INSPECTION,2026-01-24,"Kunshan Components Co., Ltd.",CMP-CBL-0441,flex ribbon cable 342,LOT-202601-43,,16800,5,DEF-DIM-03,dimension out of tolerance,MINOR,REWORK,MER-DC-JP-01,CLOSED,2026-02-14
QN-026-04130,SUPPLIER_COMPLAINT,2026-01-31,Gumi Tooling Industrial Corp.,CMP-ADH-0288,structural adhesive 189,LOT-202601-60,4500089562,5750,20,DEF-PKG-05,packaging damaged in transit,MINOR,SCRAP,MER-DC-GB-01,CLOSED,2026-02-22
QN-026-04131,SCAR,2026-02-07,Suzhou Brightway Electronics (Metro),CMP-FST-0375,torx screw 276,LOT-202602-77,4500087884,12650,20,DEF-DIM-03,dimension out of tolerance,MINOR,RETURN_TO_VENDOR,MER-DC-MX-01,OPEN,N/A
QN-026-04132,INCOMING_INSPECTION,2026-02-14,Osaka Meiwa Precision Joint Stock Company,CMP-ENC-0222,machined housing 123,LOT-202602-94,,5400,10,DEF-ELEC-04,fails electrical continuity test,MINOR,REWORK,MER-DC-SG-01,CLOSED,2026-03-10
QN-026-04133,INCOMING_INSPECTION,2026-02-21,Sendai Components Inc.,CMP-CAM-0470,camera module 371,LOT-202602-21,,17000,310,DEF-PKG-05,packaging damaged in transit,MAJOR,USE_AS_IS,MER-3PL-US-01,OPEN,N/A
QN-026-04134,SUPPLIER_COMPLAINT,2026-02-28,Nara Tooling Corporation,CMP-PCB-0517,main logic board assembly 418,LOT-202602-38,,3800,5,DEF-PKG-05,packaging damaged in transit,MINOR,RETURN_TO_VENDOR,MER-3PL-PL-02,OPEN,NULL
QN-026-04135,SCAR,2026-03-07,"Miaoli Acoustics Industry Co., Ltd.",CMP-DSP-0363,OLED display module 264,LOT-202603-55,4500087759,19000,215,DEF-SOLDER-01,cold solder joint on connector,CRITICAL,REWORK,MER-3PL-MY-03,CLOSED,2026-04-03
QN-026-04136,INCOMING_INSPECTION,2026-03-14,"Yilan Display Industry Co., Ltd.",CMP-BAT-0210,Li-ion battery pack 111,LOT-202603-72,4500089605,19550,45,DEF-ELEC-04,fails electrical continuity test,MINOR,USE_AS_IS,MER-DC-US-01,CLOSED,2026-04-11
QN-026-04137,INCOMING_INSPECTION,2026-03-21,"Ningbo Anchor Circuit Co., Ltd.",MRO-GEN-0723,maintenance supply item 23,LOT-202603-89,,8500,95,DEF-DIM-03,dimension out of tolerance,MAJOR,RETURN_TO_VENDOR,MER-DC-US-02,OPEN,N/A
QN-026-04138,SUPPLIER_COMPLAINT,2026-03-28,"Zhangzhou Reed Display Industry Co., Ltd.",CMP-ADH-0513,structural adhesive 414,LOT-202603-16,,17600,45,DEF-DIM-03,dimension out of tolerance,MINOR,USE_AS_IS,MER-DC-US-03,OPEN,
QN-026-04139,SCAR,2026-04-04,HANOI LOTUS ACOUSTICS INDUSTRIAL CORP.,CMP-FST-0391,torx screw 284,LOT-202604-33,,12350,50,DEF-SOLDER-01,cold solder joint on connector,MINOR,RETURN_TO_VENDOR,MER-DC-US-04,OPEN,N/A
QN-026-04140,INCOMING_INSPECTION,2026-04-11,Qingdao Pearl Display (Metro),CMP-ENC-0238,machined housing 131,LOT-202604-50,4500089855,6500,20,DEF-ELEC-04,fails electrical continuity test,MINOR,USE_AS_IS,MER-DC-US-05,CLOSED,2026-05-13
QN-026-04141,INCOMING_INSPECTION,2026-04-18,Hefei Summit Circuit Inc.,CMP-CAM-0486,camera module 387,LOT-202604-67,4500087744,16800,35,DEF-COSM-07,cosmetic scratch beyond spec,MINOR,REWORK,MER-DC-US-06,OPEN,
QN-026-04142,SUPPLIER_COMPLAINT,2026-04-25,Vinh Phuc Microsystems Corporation,CMP-PCB-0132,main logic board assembly 033,LOT-202604-84,,12950,120,DEF-SOLDER-01,cold solder joint on connector,MAJOR,REWORK,MER-DC-NL-01,OPEN,NULL
QN-026-04143,SCAR,2026-05-02,"Cheonan Metalworks Industry Co., Ltd.",CMP-DSP-0379,OLED display module 280,LOT-202605-11,,17750,70,DEF-COSM-07,cosmetic scratch beyond spec,MINOR,RETURN_TO_VENDOR,MER-DC-DE-01,CLOSED,2026-06-06
QN-026-04144,INCOMING_INSPECTION,2026-05-09,"Hsinchu Optics Industry Co., Ltd.",CMP-BAT-0226,Li-ion battery pack 127,LOT-202605-28,,6350,305,DEF-ELEC-04,fails electrical continuity test,CRITICAL,RETURN_TO_VENDOR,MER-DC-CN-01,CLOSED,2026-06-14
QN-026-04145,INCOMING_INSPECTION,2026-05-16,Bac Ninh Crown Metalworks Industry Co Ltd,MRO-GEN-0715,maintenance supply item 15,LOT-202605-45,,14000,165,DEF-ELEC-04,fails electrical continuity test,MAJOR,REWORK,MER-DC-CN-02,CLOSED,2026-06-22
QN-026-04146,SUPPLIER_COMPLAINT,2026-05-23,DONGGUAN RIXIN MICROSYSTEMS,MRO-GEN-0714,maintenance supply item 14,LOT-202605-62,4500088147,4650,215,DEF-SOLDER-01,cold solder joint on connector,CRITICAL,SCRAP,MER-DC-JP-01,CLOSED,2026-06-30
QN-026-04147,SCAR,2026-05-30,Tainan Metalworks Industrial Corp.,CMP-FST-0407,torx screw 308,LOT-202605-79,,2400,10,DEF-DIM-03,dimension out of tolerance,MINOR,RETURN_TO_VENDOR,MER-DC-GB-01,CLOSED,2026-07-08
QN-026-04148,INCOMING_INSPECTION,2026-06-06,Kyoto Hana Optics Joint Stock Company,CMP-ENC-0254,machined housing 155,LOT-202606-96,,6700,110,DEF-COSM-07,cosmetic scratch beyond spec,MAJOR,SCRAP,MER-DC-MX-01,CLOSED,2026-07-16
QN-025-04149,INCOMING_INSPECTION,2025-01-09,Chiayi Energy Inc.,CMP-CAM-0502,camera module 403,LOT-202501-23,,18450,90,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,USE_AS_IS,MER-DC-SG-01,CLOSED,2025-02-19
QN-025-04150,SUPPLIER_COMPLAINT,2025-01-16,Jiaxing Polymer Corporation,CMP-PCB-0148,main logic board assembly 041,LOT-202501-40,4500088098,16650,70,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,USE_AS_IS,MER-3PL-US-01,CLOSED,2025-01-28
QN-025-04151,SCAR,2025-01-23,"Taoyuan Electronics Industry Co., Ltd.",CMP-DSP-0395,OLED display module 296,LOT-202501-57,4500089501,18950,35,DEF-SOLDER-01,cold solder joint on connector,MINOR,SCRAP,MER-3PL-PL-02,CLOSED,2025-02-05
QN-025-04152,INCOMING_INSPECTION,2025-01-30,"Xiamen Harbor Precision Industry Co., Ltd.",CMP-BAT-0242,Li-ion battery pack 143,LOT-202501-74,,3900,35,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,USE_AS_IS,MER-3PL-MY-03,CLOSED,2025-02-13
QN-025-04153,INCOMING_INSPECTION,2025-02-06,"Volta Energy Co., Ltd.",CMP-CBL-0129,flex ribbon cable 030,LOT-202502-91,,7900,30,DEF-DIM-03,dimension out of tolerance,MINOR,SCRAP,MER-DC-US-01,CLOSED,2025-02-21
QN-025-04154,SUPPLIER_COMPLAINT,2025-02-13,DA NANG POLYMER INDUSTRIAL CORP.,CMP-ADH-0176,structural adhesive 077,LOT-202502-18,,7450,70,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,USE_AS_IS,MER-DC-US-02,CLOSED,2025-03-01
QN-025-04155,SCAR,2025-02-20,Haiphong Electronics Industrial Corp.,CMP-FST-0423,TORX SCREW 324,LOT-202502-35,4500088215,9250,105,DEF-SOLDER-01,cold solder joint on connector,MAJOR,SCRAP,MER-DC-US-03,CLOSED,2025-03-09
QN-025-04156,INCOMING_INSPECTION,2025-02-27,Can Tho Precision Joint Stock Company,CMP-ENC-0270,machined housing 171,LOT-202502-52,4500088249,2900,40,DEF-PKG-05,packaging damaged in transit,MAJOR,RETURN_TO_VENDOR,MER-DC-US-04,CLOSED,2025-03-17
QN-025-04157,INCOMING_INSPECTION,2025-03-06,Jeonju Components Inc.,CMP-CAM-0317,camera module 218,LOT-202503-69,,7900,25,DEF-SWELL-06,cell pouch deformation observed,MAJOR,REWORK,MER-DC-US-05,CLOSED,2025-03-25
QN-025-04158,SUPPLIER_COMPLAINT,2025-03-13,Suzhou Brightway Tooling Corporation,MRO-GEN-0702,maintenance supply item 02,LOT-202503-86,,16350,250,DEF-ELEC-04,fails electrical continuity test,MAJOR,SCRAP,MER-DC-US-06,CLOSED,2025-04-02
QN-025-04159,SCAR,2025-03-20,"Osaka Meiwa Acoustics Industry Co., Ltd.",CMP-DSP-0411,OLED display module 312,LOT-202503-13,,1250,10,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,RETURN_TO_VENDOR,MER-DC-NL-01,CLOSED,2025-04-10
QN-025-04160,INCOMING_INSPECTION,2025-03-27,HAILONG PRECISION,CMP-DSP-0451,6.7-inch OLED display module,LOT-202503-30,4500087649,16050,65,DEF-PKG-05,packaging damaged in transit,MINOR,REWORK,MER-DC-DE-01,CLOSED,2025-04-18
QN-025-04161,INCOMING_INSPECTION,2025-04-03,Chengdu Skylark Components,CMP-CBL-0345,flex ribbon cable 246,LOT-202504-47,4500089229,4850,85,DEF-DIM-03,dimension out of tolerance,MAJOR,USE_AS_IS,MER-DC-CN-01,CLOSED,2025-04-26
QN-025-04162,SUPPLIER_COMPLAINT,2025-04-10,Kaohsiung Tooling Industrial Corp.,CMP-ADH-0192,STRUCTURAL ADHESIVE 093,LOT-202504-64,,6800,0,DEF-ELEC-04,fails electrical continuity test,MINOR,RETURN_TO_VENDOR,MER-DC-CN-02,CLOSED,2025-05-04
QN-025-04163,SCAR,2025-04-17,Keelung Acoustics Industrial Corp.,CMP-FST-0439,torx screw 340,LOT-202504-81,,18450,30,DEF-ELEC-04,fails electrical continuity test,MINOR,REWORK,MER-DC-JP-01,CLOSED,2025-05-12
QN-025-04164,INCOMING_INSPECTION,2025-04-24,Changshu Display Joint Stock Company,CMP-ENC-0286,machined housing 187,LOT-202504-98,,18000,35,DEF-ELEC-04,fails electrical continuity test,MINOR,REWORK,MER-DC-GB-01,CLOSED,2025-05-20
QN-025-04165,INCOMING_INSPECTION,2025-05-01,Nantong Circuit Inc.,CMP-CAM-0333,camera module 234,LOT-202505-25,4500087263,13400,35,DEF-COSM-07,cosmetic scratch beyond spec,MINOR,USE_AS_IS,MER-DC-MX-01,CLOSED,2025-05-28
QN-025-04166,SUPPLIER_COMPLAINT,2025-05-08,Hanoi Lotus Microsystems Corporation,CMP-PCB-0180,MAIN LOGIC BOARD ASSEMBLY 081,LOT-202505-42,4500089391,2200,35,DEF-DIM-03,dimension out of tolerance,CRITICAL,RETURN_TO_VENDOR,MER-DC-SG-01,CLOSED,2025-06-05
QN-025-04167,SCAR,2025-05-15,Changwon Delta Circuit Inc.,CMP-CAM-0149,camera module 050,LOT-202505-59,,5150,0,DEF-ELEC-04,fails electrical continuity test,MINOR,REWORK,MER-3PL-US-01,CLOSED,2025-06-13
QN-025-04168,INCOMING_INSPECTION,2025-05-22,"Pusan Display Industry Co., Ltd.",CMP-BAT-0114,Li-ion battery pack 015,LOT-202505-76,,12650,100,DEF-DIM-03,dimension out of tolerance,MAJOR,RETURN_TO_VENDOR,MER-3PL-PL-02,CLOSED,2025-06-21
QN-025-04169,INCOMING_INSPECTION,2025-05-29,Incheon Circuit,CMP-CBL-0361,flex ribbon cable 262,LOT-202505-93,,11200,10,DEF-DIM-03,dimension out of tolerance,MINOR,USE_AS_IS,MER-3PL-MY-03,CLOSED,2025-06-29
QN-025-04170,SUPPLIER_COMPLAINT,2025-06-05,Binh Duong Microsystems Industrial Corp.,CMP-ADH-0208,structural adhesive 109,LOT-202506-20,4500088014,6400,10,DEF-DIM-03,dimension out of tolerance,MINOR,RETURN_TO_VENDOR,MER-DC-US-01,CLOSED,2025-07-07
QN-025-04171,SCAR,2025-06-12,Gwangju Metalworks Industrial Corp.,CMP-FST-0255,torx screw 156,LOT-202506-37,4500087858,19000,10,DEF-COSM-02,cosmetic scratch beyond spec,MINOR,REWORK,MER-DC-US-02,CLOSED,2025-07-15
QN-025-04172,INCOMING_INSPECTION,2025-06-19,Sapporo Optics Joint Stock Company,CMP-ENC-0302,machined housing 203,LOT-202506-54,,5100,15,DEF-DIM-03,dimension out of tolerance,MINOR,RETURN_TO_VENDOR,MER-DC-US-03,CLOSED,2025-07-23
QN-025-04173,INCOMING_INSPECTION,2025-06-26,Dongguan Rixin Energy Inc.,CMP-CAM-0349,camera module 250,LOT-202506-71,,12550,40,DEF-ELEC-04,fails electrical continuity test,MINOR,REWORK,MER-DC-US-04,CLOSED,2025-07-31
QN-025-04174,SUPPLIER_COMPLAINT,2025-07-03,Quanzhou Apex Optics Joint Stock Company,CMP-BAT-0170,Li-ion battery pack 071,LOT-202507-88,,9700,150,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,USE_AS_IS,MER-DC-US-05,CLOSED,2025-08-08
QN-025-04175,SCAR,2025-07-10,"Nagoya Metalworks Industry Co, Ltd",CMP-DSP-0484,OLED display module 385,LOT-202507-15,4500087980,2700,5,DEF-SWELL-06,cell pouch deformation observed,MINOR,SCRAP,MER-DC-US-06,CLOSED,2025-08-16
QN-025-04176,INCOMING_INSPECTION,2025-07-17,WUXI CRANE OPTICS,CMP-BAT-0130,Li-ion battery pack 023,LOT-202507-32,4500088193,14400,180,DEF-COSM-07,cosmetic scratch beyond spec,MAJOR,REWORK,MER-DC-NL-01,CLOSED,2025-08-24
QN-025-04177,INCOMING_INSPECTION,2025-07-24,"Taichung Energy Co., Ltd.",CMP-CBL-0377,flex ribbon cable 278,LOT-202507-49,,7800,130,DEF-COSM-02,cosmetic scratch beyond spec,CRITICAL,RETURN_TO_VENDOR,MER-DC-DE-01,CLOSED,2025-09-01
QN-025-04178,SUPPLIER_COMPLAINT,2025-07-31,Shaoxing Polymer Industrial Corp.,CMP-ADH-0424,structural adhesive 325,LOT-202507-66,,2900,0,DEF-DIM-03,dimension out of tolerance,MINOR,USE_AS_IS,MER-DC-CN-01,CLOSED,2025-09-09
QN-025-04179,SCAR,2025-08-07,Dalian Crest Electronics Industrial Corp.,CMP-FST-0472,torx screw 373,LOT-202508-83,,1750,5,DEF-DIM-03,dimension out of tolerance,MINOR,SCRAP,MER-DC-CN-02,CLOSED,2025-09-17
QN-025-04180,INCOMING_INSPECTION,2025-08-14,Volta Precision Joint Stock Company,CMP-ENC-0118,machined housing 019,LOT-202508-10,4500089072,5500,130,DEF-COSM-07,cosmetic scratch beyond spec,CRITICAL,REWORK,MER-DC-JP-01,CLOSED,2025-08-26
QN-025-04181,INCOMING_INSPECTION,2025-08-21,Da Nang Components Inc.,CMP-CAM-0365,camera module 266,LOT-202508-27,4500088852,12600,60,DEF-PKG-05,packaging damaged in transit,MAJOR,SCRAP,MER-DC-GB-01,CLOSED,2025-09-03
QN-025-04182,SUPPLIER_COMPLAINT,2025-08-28,KUNSHAN POLYMER CORPORATION,CMP-PCB-0252,MAIN LOGIC BOARD ASSEMBLY 153,LOT-202508-44,,18500,65,DEF-COSM-07,cosmetic scratch beyond spec,MAJOR,USE_AS_IS,MER-DC-MX-01,CLOSED,2025-09-11
QN-025-04183,SCAR,2025-09-04,"Gumi Electronics Industry Co., Ltd.",CMP-DSP-0500,OLED display module 393,LOT-202509-61,,5000,55,DEF-PKG-05,packaging damaged in transit,MAJOR,RETURN_TO_VENDOR,MER-DC-SG-01,CLOSED,2025-09-19
QN-025-04184,INCOMING_INSPECTION,2025-09-11,Ulsan Precision Industry Co. Ltd,CMP-BAT-0146,Li-ion battery pack 047,LOT-202509-78,,1300,10,DEF-COSM-07,cosmetic scratch beyond spec,MAJOR,REWORK,MER-3PL-US-01,CLOSED,2025-09-27
QN-025-04185,INCOMING_INSPECTION,2025-09-18,"Suwon Components Co., Ltd.",MRO-GEN-0715,maintenance supply item 15,LOT-202509-95,4500087350,4200,15,DEF-SOLDER-01,cold solder joint on connector,MINOR,RETURN_TO_VENDOR,MER-3PL-PL-02,CLOSED,2025-10-05
QN-025-04186,SUPPLIER_COMPLAINT,2025-09-25,Fukuoka Tooling Industrial Corp.,CMP-ADH-0240,STRUCTURAL ADHESIVE 141,LOT-202509-22,4500088205,19750,355,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,RETURN_TO_VENDOR,MER-3PL-MY-03,CLOSED,2025-10-13
QN-025-04187,SCAR,2025-10-02,Hailong Acoustics Industrial Corp.,CMP-FST-0488,torx screw 389,LOT-202510-39,,16950,70,DEF-PKG-05,packaging damaged in transit,MINOR,USE_AS_IS,MER-DC-US-01,CLOSED,2025-10-21
QN-025-04188,INCOMING_INSPECTION,2025-10-09,Chengdu Skylark Display Joint Stock Company,CMP-ENC-0134,machined housing 035,LOT-202510-56,,8950,15,DEF-PKG-05,packaging damaged in transit,MINOR,SCRAP,MER-DC-US-02,CLOSED,2025-10-29
QN-025-04189,INCOMING_INSPECTION,2025-10-16,Hue Amber Acoustics Industrial Corp.,CMP-FST-0215,TORX SCREW 116,LOT-202510-73,,7050,5,DEF-COSM-07,cosmetic scratch beyond spec,MINOR,RETURN_TO_VENDOR,MER-DC-US-03,CLOSED,2025-11-06
QN-025-04190,SUPPLIER_COMPLAINT,2025-10-23,Ningbo Anchor Tooling (Tokyo),CMP-PCB-0268,main logic board assembly 169,LOT-202510-90,4500087436,6550,90,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,RETURN_TO_VENDOR,MER-DC-US-04,CLOSED,2025-11-14
QN-025-04191,SCAR,2025-10-30,"ZHUHAI CORAL ACOUSTICS INDUSTRY CO., LTD.",CMP-DSP-0516,OLED display module 417,LOT-202510-17,4500087715,15100,480,DEF-DIM-03,dimension out of tolerance,CRITICAL,USE_AS_IS,MER-DC-US-05,CLOSED,2025-11-22
QN-025-04192,INCOMING_INSPECTION,2025-11-06,"Hangzhou Lake Display Industry Co., Ltd.",CMP-BAT-0162,Li-ion battery pack 063,LOT-202511-34,,10950,105,DEF-ELEC-04,fails electrical continuity test,MAJOR,SCRAP,MER-DC-US-06,CLOSED,2025-11-30
