Castle 1,Why did you choose your troop deployment?
3,Higher point castles get more guys.  Go a few over the even 10's because that was the pattern last time
6,I banged my head on the keyboard until something added up to 100
0,Modify from one of the best sample
4,Trying to get the mid scores + probably 1 of the higher ones
1,Compared to previous winning distribution graph
3,Angery reacts only. Shoutout to UC Berkeley memes for edgey teens!
1,"Just kind of threw some troops at it,  no big crazy strategy"
2,"I avoided placing troops on multiples of 5 and aimed to create a strong 9,8,7,4 core to get the 28 points to win.  I left troops in 10 and 5 to try and cover up any losses in the main core."
6,This is sparta
6,Only need a few victories.
1,Trying to break the 'top 3/4 castles' approach while claiming some cheap ones down the order
0,Simulated annealing using total wins against prior entries as objective function
5,"I just did a ""natural selection"" process on random walks beginning with randomly chosen top-50 (in terms of wins) strategies and taking smallish (1-3 troops shifted at a time) steps. I also did a few more walks of the winning-est strategy from the first competition. This one does the best among those (including the newly generated 'good' models)"
2,I thought it might perform well?
2,"Created a strategy to beat Round 1 Median values, then assumed that would be most popular selection this Round and chose strategy to beat that."
